dia_pinado,shop_id,item_id,main_category,level2_global_kpi_category,batch_time,promo_price_dia_pinado,orders_dia_pinado,gmv_dia_pinado,promo_price_max_acumulado,ADO_acumulado,adgmv_acumulado
2023-07-11,420271165,19967544214,Women Clothes,Pants & Leggings,14.0,39.9,17.0,723.16,39.9,6.01,268.48
2023-07-11,357721242,15588092191,Shoes,Sandals & Flip Flops,0.0,56.99,4.0,343.25,0.0,0.0,0.0
2023-07-07,327263189,7877410902,Men Clothes,Shorts,22.0,99.99,17.0,1753.77,119.99,0.0,0.0
2023-07-04,367507085,9612402588,Shoes,Heels,14.0,48.9,8.0,432.55,48.9,1.23,70.96
2023-07-07,360661680,11236397874,Shoes,Heels,14.0,39.9,33.0,1371.93,47.9,0.53,29.34
2023-07-07,588834123,12553692061,Shoes,Boots,15.0,57.9,23.0,1452.24,0.0,0.0,0.0
2023-07-11,314058852,5359521662,Women Clothes,Dresses,22.0,0.0,0.0,0.0,66.99,0.07,2.92
2023-07-07,341167297,17392538044,Baby & Kids Fashion,Girl Clothes,21.0,84.9,39.5,3599.36,0.0,0.0,0.0
2023-07-07,357273063,17869184108,Women Clothes,Pants & Leggings,13.0,39.99,37.5,1586.02,39.99,1.57,73.05
2023-07-05,311203232,17259179986,Men Clothes,"Jackets, Coats & Vests",20.0,145.9,2.0,299.57,145.9,0.0,0.0
2023-07-08,389730142,16881283482,Baby & Kids Fashion,Girl Shoes,14.0,26.9,21.5,672.88,26.9,3.7,110.02
2023-07-04,341594413,20948618999,Shoes,Boots,6.0,0.0,0.0,0.0,62.9,6.07,390.21
2023-07-09,338059094,20428823363,Shoes,Sneakers,14.0,47.99,3.83,317.17,49.9,1.3,68.54
2023-07-05,218569440,19927503869,Underwear & Sleepwear,Sleepwear,22.0,0.0,0.0,0.0,43.99,0.27,11.98
2023-07-04,358675294,18332111886,Underwear & Sleepwear,Women Underwear,22.0,0.0,0.0,0.0,46.9,2.02,99.05
2023-07-10,283252705,8322710292,Shoes,Boots,22.0,0.0,0.0,0.0,62.99,0.17,10.65
2023-07-09,335792741,16571343517,Baby & Kids Fashion,Girl Clothes,14.0,0.0,0.0,0.0,25.99,1.65,46.93
2023-07-08,612227047,12975383775,Women Clothes,Jeans,18.0,79.99,8.0,827.43,85.99,9.75,816.16
2023-07-05,463371489,17410401386,Fashion Accessories,Women Watches,12.0,188.9,1.0,200.84,188.9,0.0,0.0
2023-07-09,426378412,14684226037,Women Clothes,Tops,0.0,39.99,0.0,0.0,41.86,0.27,16.88
2023-07-11,293061689,22091018877,Women Clothes,Tops,6.0,54.99,2.0,113.98,54.99,1.7,89.32
2023-07-07,340156061,21458241093,Women Clothes,Pants & Leggings,13.0,49.9,75.5,3920.55,54.99,0.03,1.83
2023-07-08,299229042,22706695289,Shoes,Flats,10.0,59.99,49.5,3139.34,65.99,9.21,621.21
2023-07-10,340156061,21458241093,Women Clothes,Pants & Leggings,6.0,49.9,63.0,3367.21,56.9,6.53,380.53
2023-07-10,441966737,19926248578,Women Clothes,Pants & Leggings,12.0,39.9,16.0,728.49,39.9,1.78,77.65
2023-07-11,588834123,12553692061,Shoes,Boots,20.0,0.0,0.0,0.0,57.9,2.3,148.97
2023-07-05,404333042,14168607644,Underwear & Sleepwear,Socks & Stockings,12.0,0.0,0.0,0.0,43.99,2.15,112.4
2023-07-07,313274360,5480109618,Shoes,Boots,21.0,185.9,0.0,0.0,0.0,0.0,0.0
2023-07-06,499950777,14563042942,Baby & Kids Fashion,Girl Shoes,6.0,59.99,5.5,379.41,63.9,2.14,153.45
2023-07-10,691766799,15577939442,Men Clothes,"Jackets, Coats & Vests",0.0,114.99,7.0,800.24,124.0,0.8,94.63
2023-07-11,341594413,17703965291,Shoes,Boots,22.0,0.0,0.0,0.0,89.9,0.57,52.35
2023-07-07,295515557,16047925666,Shoes,Boots,6.0,49.99,455.0,23843.32,54.9,0.78,47.94
